Hand,Unopened Pot EP,Unopened Pot MP,Unopened Pot LP,With Limper EP,With Limper MP,With Limper LP,With a Raise in Front EP,With a Raise in Front MP,With a Raise in Front LP
QQ+,Raise,Raise,Raise,Raise,Raise,Raise,Fold,Fold,Fold
JJ,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
TT,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
77,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
22,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold
AKs,Raise,Raise,Raise,Raise,Raise,Raise,Call,Call,Call
AQs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
AJs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
ATs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
A8s,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
A6s,Raise,Raise,Raise,Fold,Fold,Fold,Fold,Fold,Fold
A5s,Raise,Raise,Raise,Fold,Fold,Fold,Fold,Fold,Fold
A4s,Raise,Raise,Raise,Fold,Fold,Fold,Fold,Fold,Fold
A3s,Raise,Raise,Raise,Fold,Fold,Fold,Fold,Fold,Fold
A2s,Raise,Raise,Raise,Fold,Fold,Fold,Fold,Fold,Fold
KQs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
KJs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
KTs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
K9s,Call,Raise,Raise,Fold,Fold,Fold,Fold,Fold,Fold
K8s,Fold,Call,Raise,Fold,Fold,Fold,Fold,Fold,Fold
K7s,Fold,Fold,Call,Fold,Fold,Fold,Fold,Fold,Fold
K6s,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold
K5s,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold
K4s,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold
K3s,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold
K2s,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold
QJs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
QTs,Raise,Raise,Raise,Call,Call,Call,Fold,Fold,Fold
